p2;M
24.6604;1.26201
24.8886;1.26076
25.1189;1.25951
25.3513;1.25826
25.5859;1.25702
25.8226;1.25579
26.0615;1.25456
26.3027;1.25334
26.5461;1.25212
26.7917;1.25091
27.0396;1.24971
27.2898;1.24851
27.5423;1.24732
27.7971;1.24613
28.0543;1.24495
28.3139;1.24378
28.5759;1.24261
28.8403;1.24145
29.1072;1.24029
29.3765;1.23914
29.6483;1.23799
29.9226;1.23685
30.1995;1.23572
30.4789;1.23459
30.761;1.23347
31.0456;1.23235
31.3329;1.23124
31.6228;1.23013
31.9154;1.22903
32.2107;1.22794
32.5087;1.22685
32.8095;1.22576
33.1131;1.22468
33.4195;1.2236
33.7287;1.22253
34.0408;1.22147
34.3558;1.2204
34.6737;1.21935
34.9945;1.2183
35.3183;1.21725
35.6451;1.2162
35.9749;1.21516
36.3078;1.21413
36.6438;1.21309
36.9828;1.21207
37.325;1.21104
37.6704;1.21002
38.0189;1.209
38.3707;1.20799
38.7258;1.20698
39.0841;1.20597
39.4457;1.20496
39.8107;1.20396
40.1791;1.20296
40.5509;1.20196
40.9261;1.20096
41.3048;1.19997
41.6869;1.19898
42.0727;1.19799
42.462;1.197
42.8549;1.19601
43.2514;1.19502
43.6516;1.19404
44.0555;1.19306
44.4631;1.19207
44.8745;1.19109
45.2898;1.19011
45.7088;1.18913
46.1318;1.18815
46.5586;1.18717
46.9894;1.18619
47.4242;1.18521
47.863;1.18423
48.3059;1.18325
48.7528;1.18227
49.204;1.18129
49.6592;1.18031
50.1187;1.17933
50.5825;1.17835
51.0505;1.17737
51.5229;1.17638
51.9996;1.1754
52.4807;1.17441
52.9663;1.17343
53.4564;1.17244
53.9511;1.17145
54.4503;1.17046
54.9541;1.16947
55.4626;1.16847
55.9758;1.16748
56.4937;1.16648
57.0164;1.16549
57.544;1.16449
58.0764;1.16349
58.6138;1.16248
59.1562;1.16148
59.7035;1.16047
60.256;1.15947
60.8135;1.15846
61.3762;1.15745
61.9441;1.15644
62.5173;1.15543
63.0957;1.15441
63.6796;1.1534
64.2688;1.15238
64.8634;1.15136
65.4636;1.15034
66.0693;1.14932
66.6807;1.1483
67.2977;1.14727
67.9204;1.14625
68.5488;1.14522
69.1831;1.1442
69.8232;1.14317
70.4693;1.14214
71.1214;1.14112
71.7794;1.14009
72.4436;1.13906
73.1139;1.13803
73.7904;1.137
74.4732;1.13597
75.1623;1.13494
75.8578;1.13391
76.5597;1.13288
77.2681;1.13185
77.983;1.13082
78.7046;1.12979
79.4328;1.12876
80.1678;1.12774
80.9096;1.12671
81.6582;1.12569
82.4138;1.12466
83.1764;1.12364
83.946;1.12262
84.7227;1.1216
85.5067;1.12058
86.2979;1.11956
87.0964;1.11855
87.9023;1.11753
88.7156;1.11652
89.5365;1.11551
90.3649;1.11451
91.2011;1.1135
92.045;1.1125
92.8966;1.1115
93.7562;1.11051
94.6237;1.10951
95.4993;1.10852
96.3829;1.10754
97.2747;1.10655
98.1748;1.10557
99.0832;1.10459
100;1.10362
100.925;1.10265
101.859;1.10168
102.802;1.10072
103.753;1.09976
104.713;1.09881
105.682;1.09786
106.66;1.09691
107.647;1.09597
108.643;1.09503
109.648;1.0941
110.662;1.09317
111.686;1.09224
112.72;1.09132
113.763;1.09041
114.815;1.0895
115.878;1.08859
116.95;1.08769
118.032;1.08679
119.124;1.0859
120.226;1.08501
121.339;1.08413
122.462;1.08325
123.595;1.08238
124.738;1.08151
125.893;1.08065
127.057;1.07979
128.233;1.07894
129.42;1.07809
130.617;1.07725
131.826;1.07641
133.045;1.07558
134.276;1.07475
135.519;1.07392
136.773;1.07311
138.038;1.07229
139.316;1.07148
140.605;1.07068
141.906;1.06988
143.219;1.06909
144.544;1.0683
145.881;1.06751
147.231;1.06673
148.594;1.06596
149.968;1.06519
151.356;1.06442
152.757;1.06366
154.17;1.0629
155.597;1.06215
157.036;1.0614
158.489;1.06065
159.956;1.05991
161.436;1.05918
162.93;1.05845
164.437;1.05772
165.959;1.05699
167.494;1.05627
169.044;1.05556
170.608;1.05484
172.187;1.05413
173.78;1.05343
175.388;1.05273
177.011;1.05203
178.649;1.05134
180.302;1.05064
181.97;1.04996
183.654;1.04927
185.353;1.04859
187.068;1.04791
188.799;1.04724
190.546;1.04656
192.309;1.04589
194.089;1.04523
195.884;1.04456
197.697;1.0439
199.526;1.04324
201.372;1.04259
203.236;1.04193
205.116;1.04128
207.014;1.04063
208.93;1.03998
210.863;1.03934
212.814;1.0387
214.783;1.03806
216.77;1.03742
218.776;1.03678
220.8;1.03615
222.844;1.03552
224.905;1.03489
226.986;1.03426
229.087;1.03363
231.206;1.03301
233.346;1.03238
235.505;1.03176
237.684;1.03114
239.883;1.03053
242.103;1.02991
244.343;1.02929
246.604;1.02868
248.886;1.02807
251.189;1.02746
253.513;1.02685
255.859;1.02624
258.226;1.02563
260.615;1.02502
263.027;1.02442
265.461;1.02382
267.917;1.02321
270.396;1.02261
272.898;1.02201
275.423;1.02141
277.971;1.02081
280.543;1.02022
283.139;1.01962
285.759;1.01903
288.403;1.01843
291.072;1.01784
293.765;1.01725
296.483;1.01666
299.226;1.01607
301.995;1.01548
304.789;1.01489
307.61;1.0143
310.456;1.01372
313.329;1.01313
316.228;1.01255
319.154;1.01196
322.107;1.01138
325.087;1.0108
328.095;1.01022
331.131;1.00963
334.195;1.00906
337.287;1.00848
340.408;1.0079
343.558;1.00732
346.737;1.00674
349.945;1.00617
353.183;1.00559
356.451;1.00502
359.749;1.00445
363.078;1.00387
366.438;1.0033
369.828;1.00273
373.25;1.00216
376.704;1.00159
380.189;1.00102
383.707;1.00045
387.258;0.999884
390.841;0.999317
394.457;0.998751
398.107;0.998186
401.791;0.997621
405.509;0.997057
409.261;0.996493
413.048;0.995931
416.869;0.995369
420.727;0.994808
424.62;0.994247
428.549;0.993687
432.514;0.993128
436.516;0.99257
440.555;0.992012
444.631;0.991455
448.745;0.990898
452.898;0.990342
457.088;0.989787
461.318;0.989233
465.586;0.988679
469.894;0.988126
474.242;0.987573
478.63;0.987022
483.059;0.98647
