p2;A
366.438;0.930241
369.828;0.930208
373.25;0.930175
376.704;0.930142
380.189;0.930109
383.707;0.930076
387.258;0.930043
390.841;0.93001
394.457;0.929978
398.107;0.929945
401.791;0.929912
405.509;0.92988
409.261;0.929847
413.048;0.929815
416.869;0.929782
420.727;0.92975
424.62;0.929718
428.549;0.929685
432.514;0.929653
436.516;0.929621
440.555;0.929589
444.631;0.929557
448.745;0.929525
452.898;0.929493
457.088;0.929461
461.318;0.929429
465.586;0.929397
469.894;0.929365
474.242;0.929333
478.63;0.929301
483.059;0.92927
487.528;0.929238
492.04;0.929206
496.592;0.929175
501.187;0.929143
505.825;0.929111
510.505;0.92908
515.229;0.929048
519.996;0.929017
524.807;0.928985
529.663;0.928954
534.564;0.928923
539.511;0.928891
544.503;0.92886
549.541;0.928829
554.626;0.928798
559.758;0.928766
564.937;0.928735
570.164;0.928704
575.44;0.928673
580.764;0.928642
586.138;0.928611
591.562;0.92858
597.035;0.928548
602.56;0.928517
608.135;0.928486
613.762;0.928455
619.441;0.928424
625.173;0.928394
630.957;0.928363
636.796;0.928332
642.688;0.928301
648.634;0.92827
654.636;0.928239
660.693;0.928208
666.807;0.928177
672.977;0.928146
679.204;0.928115
685.488;0.928084
691.831;0.928053
698.232;0.928023
704.693;0.927992
711.214;0.927961
717.794;0.92793
724.436;0.927899
731.139;0.927868
737.904;0.927837
744.732;0.927806
751.623;0.927775
758.578;0.927744
765.597;0.927713
772.681;0.927682
779.83;0.927651
787.046;0.92762
794.328;0.927589
801.678;0.927558
809.096;0.927527
816.582;0.927496
824.138;0.927465
831.764;0.927434
839.46;0.927404
847.227;0.927373
855.067;0.927343
862.979;0.927312
870.964;0.927283
879.023;0.927253
887.156;0.927224
895.365;0.927195
903.649;0.927166
912.011;0.927138
920.45;0.927111
928.966;0.927084
937.562;0.927058
946.237;0.927033
954.993;0.927008
963.829;0.926984
972.747;0.92696
981.748;0.926937
990.832;0.926915
1000;0.926892
