p2_real;p2_imag;M_real;M_imag
187.445;-1;0.00180021;1.50144e-06
191.46;-1;0.0017943;1.444e-06
195.561;-1;0.00178849;1.38911e-06
199.75;-1;0.00178278;1.33664e-06
204.029;-1;0.00177717;1.28649e-06
208.399;-1;0.00177166;1.23854e-06
212.863;-1;0.00176623;1.19268e-06
217.422;-1;0.00176089;1.14881e-06
222.079;-1;0.00175564;1.10684e-06
226.836;-1;0.00175048;1.06666e-06
231.694;-1;0.00174539;1.02819e-06
236.657;-1;0.00174038;9.91349e-07
241.726;-1;0.00173544;9.56045e-07
246.904;-1;0.00173058;9.22204e-07
252.193;-1;0.00172579;8.89753e-07
257.594;-1;0.00172107;8.58623e-07
263.112;-1;0.00171642;8.28748e-07
268.748;-1;0.00171183;8.00067e-07
274.504;-1;0.0017073;7.72522e-07
280.384;-1;0.00170284;7.46057e-07
286.389;-1;0.00169843;7.20622e-07
292.524;-1;0.00169409;6.96167e-07
298.789;-1;0.0016898;6.72647e-07
305.189;-1;0.00168557;6.5002e-07
311.726;-1;0.00168139;6.28245e-07
318.403;-1;0.00167727;6.07284e-07
325.223;-1;0.0016732;5.87101e-07
332.189;-1;0.00166918;5.67663e-07
339.305;-1;0.0016652;5.48938e-07
346.572;-1;0.00166128;5.30896e-07
353.996;-1;0.0016574;5.13508e-07
361.578;-1;0.00165358;4.96749e-07
369.323;-1;0.00164979;4.80592e-07
377.234;-1;0.00164605;4.65013e-07
385.314;-1;0.00164236;4.4999e-07
393.567;-1;0.0016387;4.35501e-07
401.997;-1;0.00163509;4.21524e-07
410.608;-1;0.00163152;4.08041e-07
419.403;-1;0.00162799;3.95033e-07
428.386;-1;0.0016245;3.82481e-07
437.562;-1;0.00162104;3.70368e-07
446.934;-1;0.00161763;3.58678e-07
456.507;-1;0.00161425;3.47395e-07
466.285;-1;0.00161091;3.36504e-07
476.273;-1;0.0016076;3.25991e-07
486.474;-1;0.00160432;3.15841e-07
496.894;-1;0.00160108;3.06042e-07
507.538;-1;0.00159788;2.9658e-07
518.409;-1;0.0015947;2.87444e-07
529.513;-1;0.00159156;2.78622e-07
540.855;-1;0.00158845;2.70101e-07
552.439;-1;0.00158537;2.61873e-07
564.272;-1;0.00158232;2.53926e-07
576.359;-1;0.0015793;2.4625e-07
588.704;-1;0.0015763;2.38836e-07
601.314;-1;0.00157334;2.31675e-07
614.194;-1;0.0015704;2.24758e-07
627.349;-1;0.00156748;2.18077e-07
640.787;-1;0.0015646;2.11624e-07
654.512;-1;0.00156174;2.05391e-07
668.531;-1;0.0015589;1.9937e-07
682.851;-1;0.00155609;1.93556e-07
697.477;-1;0.0015533;1.87942e-07
712.417;-1;0.00155053;1.82522e-07
727.676;-1;0.00154779;1.77291e-07
743.263;-1;0.00154506;1.72243e-07
759.183;-1;0.00154236;1.67375e-07
775.444;-1;0.00153968;1.62684e-07
792.054;-1;0.00153701;1.58168e-07
809.019;-1;0.00153437;1.53824e-07
826.348;-1;0.00153174;1.49651e-07
844.048;-1;0.00152912;1.45648e-07
862.127;-1;0.00152653;1.41808e-07
880.593;-1;0.00152394;1.38116e-07
899.455;-1;0.00152137;1.34542e-07
918.721;-1;0.00151881;1.31033e-07
938.399;-1;0.00151627;1.27508e-07
958.499;-1;0.00151374;1.23866e-07
979.03;-1;0.00151124;1.20009e-07
1000;-1;0.00150876;1.15876e-07
0.001;-0.8;0.385132;0.362978
0.00103466;-0.8;0.385113;0.362938
0.00107051;-0.8;0.385093;0.362897
0.00110761;-0.8;0.385072;0.362854
0.001146;-0.8;0.38505;0.36281
0.00118571;-0.8;0.385027;0.362764
0.0012268;-0.8;0.385003;0.362717
0.00126932;-0.8;0.384978;0.362668
0.00131331;-0.8;0.384952;0.362618
0.00135882;-0.8;0.384925;0.362567
0.00140591;-0.8;0.384896;0.362513
0.00145464;-0.8;0.384866;0.362459
0.00150505;-0.8;0.384834;0.362402
0.00155721;-0.8;0.384801;0.362344
0.00161117;-0.8;0.384767;0.362284
0.00166701;-0.8;0.38473;0.362222
0.00172478;-0.8;0.384692;0.362158
0.00178456;-0.8;0.384652;0.362093
0.0018464;-0.8;0.384611;0.362026
0.00191039;-0.8;0.384567;0.361957
0.00197659;-0.8;0.384521;0.361886
0.00204509;-0.8;0.384473;0.361813
0.00211597;-0.8;0.384422;0.361738
0.0021893;-0.8;0.38437;0.361661
0.00226517;-0.8;0.384314;0.361582
0.00234367;-0.8;0.384256;0.361501
0.00242489;-0.8;0.384195;0.361418
0.00250893;-0.8;0.384131;0.361333
0.00259588;-0.8;0.384064;0.361246
0.00268584;-0.8;0.383994;0.361158
0.00277892;-0.8;0.383921;0.361067
0.00287523;-0.8;0.383844;0.360975
0.00297487;-0.8;0.383763;0.36088
0.00307797;-0.8;0.383679;0.360784
0.00318464;-0.8;0.383591;0.360686
0.003295;-0.8;0.383499;0.360587
0.00340919;-0.8;0.383403;0.360486
0.00352734;-0.8;0.383302;0.360384
0.00364958;-0.8;0.383197;0.36028
0.00377606;-0.8;0.383087;0.360175
0.00390693;-0.8;0.382973;0.360069
0.00404232;-0.8;0.382854;0.359962
0.00418241;-0.8;0.38273;0.359854
0.00432736;-0.8;0.3826;0.359746
0.00447733;-0.8;0.382466;0.359637
0.00463249;-0.8;0.382327;0.359528
0.00479303;-0.8;0.382182;0.359418
0.00495914;-0.8;0.382032;0.35931
0.005131;-0.8;0.381877;0.359201
0.00530882;-0.8;0.381717;0.359093
0.0054928;-0.8;0.381551;0.358986
0.00568316;-0.8;0.38138;0.35888
0.00588011;-0.8;0.381204;0.358775
0.00608389;-0.8;0.381023;0.358671
0.00629474;-0.8;0.380838;0.35857
0.00651288;-0.8;0.380647;0.35847
