p2_real;p2_imag;A_real;A_imag
110.35;-1;0.940016;0.000187088
112.713;-1;0.939586;0.000177272
115.128;-1;0.939169;0.00016773
117.594;-1;0.938767;0.000158476
120.112;-1;0.93838;0.000149523
122.685;-1;0.938006;0.000140883
125.313;-1;0.937647;0.000132564
127.997;-1;0.937302;0.000124575
130.739;-1;0.936971;0.000116922
133.539;-1;0.936654;0.000109608
136.399;-1;0.936351;0.000102635
139.321;-1;0.936061;9.60048e-05
142.305;-1;0.935784;8.97157e-05
145.353;-1;0.93552;8.37651e-05
148.467;-1;0.935268;7.81489e-05
151.647;-1;0.935028;7.28614e-05
154.895;-1;0.934799;6.78958e-05
158.213;-1;0.934582;6.32439e-05
161.602;-1;0.934375;5.88967e-05
165.063;-1;0.934178;5.48439e-05
168.599;-1;0.933991;5.10746e-05
172.21;-1;0.933813;4.75771e-05
175.899;-1;0.933644;4.43393e-05
179.666;-1;0.933483;4.13485e-05
183.515;-1;0.933329;3.85917e-05
187.445;-1;0.933182;3.60558e-05
191.46;-1;0.933042;3.37274e-05
195.561;-1;0.932909;3.15934e-05
199.75;-1;0.93278;2.96407e-05
204.029;-1;0.932658;2.78565e-05
208.399;-1;0.932539;2.62282e-05
212.863;-1;0.932426;2.47436e-05
217.422;-1;0.932316;2.3391e-05
222.079;-1;0.93221;2.21592e-05
226.836;-1;0.932107;2.10375e-05
231.694;-1;0.932008;2.00158e-05
236.657;-1;0.931911;1.90846e-05
241.726;-1;0.931816;1.8235e-05
246.904;-1;0.931724;1.74589e-05
252.193;-1;0.931633;1.67485e-05
257.594;-1;0.931545;1.60968e-05
263.112;-1;0.931458;1.54975e-05
268.748;-1;0.931372;1.49447e-05
274.504;-1;0.931287;1.44331e-05
280.384;-1;0.931204;1.39581e-05
286.389;-1;0.931121;1.35154e-05
292.524;-1;0.93104;1.31012e-05
298.789;-1;0.930959;1.27122e-05
305.189;-1;0.930879;1.23455e-05
311.726;-1;0.930799;1.19985e-05
318.403;-1;0.93072;1.1669e-05
325.223;-1;0.930642;1.1355e-05
332.189;-1;0.930564;1.1055e-05
339.305;-1;0.930486;1.07673e-05
346.572;-1;0.930409;1.0491e-05
353.996;-1;0.930332;1.02247e-05
361.578;-1;0.930255;9.96782e-06
369.323;-1;0.930179;9.71944e-06
377.234;-1;0.930103;9.47897e-06
385.314;-1;0.930028;9.24586e-06
393.567;-1;0.929952;9.01966e-06
401.997;-1;0.929877;8.79999e-06
410.608;-1;0.929802;8.58651e-06
419.403;-1;0.929728;8.37895e-06
428.386;-1;0.929653;8.17707e-06
437.562;-1;0.929579;7.98066e-06
446.934;-1;0.929505;7.78953e-06
456.507;-1;0.929432;7.60353e-06
466.285;-1;0.929358;7.42252e-06
476.273;-1;0.929285;7.24637e-06
486.474;-1;0.929212;7.07496e-06
496.894;-1;0.929139;6.90819e-06
507.538;-1;0.929066;6.74597e-06
518.409;-1;0.928994;6.58819e-06
529.513;-1;0.928922;6.43478e-06
540.855;-1;0.928849;6.28567e-06
552.439;-1;0.928778;6.14077e-06
564.272;-1;0.928706;6.00003e-06
576.359;-1;0.928634;5.86339e-06
588.704;-1;0.928562;5.73078e-06
601.314;-1;0.928491;5.60217e-06
614.194;-1;0.92842;5.47749e-06
627.349;-1;0.928348;5.35672e-06
